Name_bal,BSE Code_bal,NSE Code_bal,Industry_bal,Current Price_bal,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization_bal,join_key,Name_rat,BSE Code_rat,NSE Code_rat,Industry_rat,Current Price_rat,Market Capitalization_rat,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,t_1_price,future_return,signal
Honeywell Auto,517174.0,HONAUT,Electronics - Components,56583.2,59.6,8.8,0.0,3597.4,0.0,36.34,4895.1,293.6,0.0,142.74,169.8,1.9,0.0,4539.3,1219.6,0.0,0.0,108.15,4895.1,3330.8,59.6,159.1,926.1,10.0,2823.0,22.67,761.3,0.88,36.34,2888.59,150.86,293.6,2.4,2267.09,1408.72,805.81,494.2,73.89,0.0,0.0,0.0,216.58,85.18,78.81,50019.55,517174.0_HONAUT,Honeywell Auto,517174.0,HONAUT,Electronics - Components,56583.2,50019.55,99.76,0.18,13.88,10.73,0.02,14.76,75.0,1.43,0.0,81.92,47256.15,0.88,4078.72,14.28,3.59,41.38,7.0,3.0,0.87,1.3,33186.0,75.0,14.4,83.29,10.27,,45.67,13.86,7214.1,-11.81,120.23,83.29,25.13,10.03,2.76,-0.15,0.29,12.2,3606.3,19.54,10.35,14.54,35496.0,58286.22,0.03009762615051825,Hold
HOV Services,532761.0,HOVS,Computers - Software - Medium / Small,64.0,1.05,12.6,0.0,10.25,0.0,1.42,35.69,15.03,0.0,4.64,9.57,0.0,4.81,19.81,12.14,0.0,0.0,0.12,35.69,8.02,1.05,0.0,8.28,10.0,11.01,0.0,0.85,1.26,1.42,1.98,10.39,15.03,0.0,0.61,6.86,11.08,8.9,2.98,4.29,12.87,10.23,9.82,10.19,11.83,80.6,532761.0_HOVS,HOV Services,532761.0,HOVS,Computers - Software - Medium / Small,64.0,80.6,30.42,0.0,3.53,7.22,0.05,11.67,50.42,5.39,0.0,34.11,70.64,1.26,18.14,,1.63,0.0,5.0,1.0,0.44,1.61,9470.0,50.42,15.61,187.48,3.7,,-67.7,10.59,29.53,187.48,,187.48,,49.58,0.0,0.0,0.0,0.0,17.94,19.46,10.88,17.16,9969.0,62.7,-0.020312499999999956,Hold
Howard Hotels,526761.0,__NA__,Hotels,23.5,5.07,9.11,0.0,1.92,0.29,2.35,19.6,26.62,0.0,13.98,15.93,0.0,0.0,3.19,3.3,0.0,0.0,0.0,19.6,0.6,0.0,0.67,0.28,10.0,1.67,0.22,1.05,0.91,2.64,-0.11,12.64,26.62,0.36,-0.58,0.35,0.47,2.47,2.41,2.14,1.85,2.14,12.88,13.66,12.96,21.41,526761.0___NA__,Howard Hotels,526761.0,__NA__,Hotels,23.5,21.41,22.53,0.0,1.95,5.48,0.46,9.0,60.83,5.8,0.0,47.22,24.81,0.91,12.1,4.13,0.76,0.0,7.0,5.0,0.76,1.57,6656.0,60.83,6.72,7.77,4.25,,-29.7,7.55,16.85,-65.23,201.71,7.77,128.71,39.17,0.0,0.0,0.0,0.0,11.05,10.82,5.14,7.64,6461.0,22.13,-0.05829787234042558,Sell
HP Adhesives,543433.0,HPAL,Chemicals,97.95,3.16,18.37,0.0,150.51,4.63,3.9,197.81,54.62,0.0,15.87,51.96,16.21,18.2,122.55,26.6,0.0,0.0,0.56,197.81,97.49,2.64,47.69,36.48,2.0,9.1,1.14,16.03,9.19,8.53,69.75,38.75,54.62,17.26,28.43,,,,42.59,,,,19.21,,,899.95,543433.0_HPAL,HP Adhesives,543433.0,HPAL,Chemicals,97.71,897.74,43.97,0.0,5.29,10.67,0.02,12.87,71.35,3.4,0.0,39.79,891.8,9.19,18.38,3.2,2.81,0.0,8.0,3.0,1.23,1.13,49909.0,71.35,14.58,56.42,3.67,,136.69,15.05,30.43,134.43,39.5,56.42,117.51,24.68,0.25,-0.46,0.0,3.72,16.13,11.96,6.23,8.29,43680.0,95.11,-0.028994384890250163,Hold
HPL Electric,540136.0,HPL,Electric Equipment,451.0,626.51,64.3,19.25,763.93,552.97,27.69,1874.15,689.4,0.0,238.0,460.61,10.3,0.0,1383.94,914.65,0.0,0.0,11.69,1874.15,1003.35,3.52,572.83,696.69,10.0,58.92,0.0,304.81,6.43,580.66,933.97,451.4,689.4,8.72,827.34,749.02,635.6,432.45,565.1,511.36,375.61,424.15,464.43,453.25,398.67,2899.95,540136.0_HPL,HPL Electric,540136.0,HPL,Electric Equipment,450.85,2898.98,66.56,0.23,3.49,2.44,0.76,5.37,72.66,4.65,0.0,58.82,3466.57,6.43,128.81,1.81,0.89,0.0,9.0,4.0,0.82,2.16,115826.0,72.66,6.9,174.07,8.34,,235.97,8.42,140.12,275.89,115.8,174.07,217.62,26.78,0.24,0.24,0.09,0.32,123.41,8.85,1.81,3.87,78511.0,449.98,-0.0022616407982261237,Hold
HRH Next,-1.0,HRHNEXT,Computers - Software - Medium / Small,32.0,10.16,0.2,0.0,11.78,7.43,2.47,37.13,20.78,0.0,7.61,14.64,0.0,0.15,22.11,11.69,0.83,0.0,0.0,37.13,16.93,0.0,0.0,19.55,10.0,0.17,0.0,0.0,0.02,9.9,6.94,13.16,20.78,0.0,4.38,,,,4.02,,,,5.14,,,29.46,-1.0_HRHNEXT,HRH Next,-1.0,HRHNEXT,Computers - Software - Medium / Small,32.0,29.46,16.01,0.0,1.4,6.38,0.48,17.61,69.61,11.1,0.0,34.11,39.45,0.92,22.8,,1.89,0.0,1.0,4.0,1.57,2.76,565.0,69.61,14.3,97.75,3.7,,54.79,11.8,32.02,97.75,,97.75,,30.29,0.0,,,0.1,,36.85,14.66,39.95,,32.97,0.030312499999999964,Hold
Hubtown,532799.0,HUBTOWN,Construction,168.0,940.55,79.94,0.43,1178.07,686.96,278.47,4909.88,114.17,0.0,48.15,137.89,16.67,106.95,3984.97,3187.7,0.0,0.0,1443.56,4909.88,1383.18,0.94,2924.32,190.8,10.0,131.55,815.5,189.57,7.63,965.43,810.03,66.02,114.17,16.67,714.63,371.15,917.53,1804.26,765.18,881.33,1757.7,1767.17,69.69,87.82,93.95,1342.93,532799.0_HUBTOWN,Hubtown,532799.0,HUBTOWN,Construction,169.0,1350.92,,0.0,1.07,-1.83,0.75,-6.67,47.85,-0.04,67.08,33.28,2159.92,7.99,157.38,0.05,0.33,0.0,4.0,3.0,0.05,3.74,25440.0,15.75,-0.06,270.22,2.89,,1772.64,-0.02,,8630.92,579.55,270.22,8940.25,48.82,3.33,-0.12,0.0,0.0,170.33,4.67,0.99,3.51,25848.0,163.39,-0.027440476190476272,Hold
Huhtamaki India,509820.0,HUHTAMAKI,Packaging,362.85,254.57,15.11,0.0,1135.35,0.0,254.57,2000.96,1024.49,0.0,541.27,483.22,131.12,79.73,1180.94,585.15,0.0,79.73,25.99,2000.96,603.37,51.62,269.89,551.0,2.0,312.04,10.25,467.48,7.55,409.75,492.93,478.8,1002.03,35.03,388.14,387.67,214.46,127.83,294.61,403.11,435.49,20.61,560.65,517.72,464.62,2740.31,509820.0_HUHTAMAKI,Huhtamaki India,509820.0,HUHTAMAKI,Packaging,362.95,2741.06,25.08,1.38,2.38,6.63,0.22,13.04,67.73,5.96,0.0,26.93,2683.59,7.55,152.33,6.43,1.56,29.25,8.0,1.0,1.36,1.63,31026.0,67.73,12.08,78.89,1.82,,41.71,7.94,426.17,37.36,98.25,78.89,56.72,29.76,1.21,0.32,-0.02,1.3,100.23,7.37,2.62,6.33,26544.0,357.14,-0.015736530246658498,Hold
Humming Bird Edu,542592.0,__NA__,Miscellaneous,570.0,0.0,0.61,0.0,1.13,0.0,0.0,2.64,0.69,0.0,0.62,0.07,0.0,0.0,2.55,0.72,0.0,0.0,0.0,2.64,1.83,0.0,0.13,0.33,10.0,1.77,0.0,0.45,0.06,0.0,1.99,0.07,0.69,0.0,1.94,2.65,,,0.0,0.0,,,0.21,0.35,,34.94,542592.0___NA__,Humming Bird Edu,542592.0,__NA__,Miscellaneous,570.0,34.94,873.5,0.53,20.08,1.78,0.0,1.95,74.88,0.33,0.0,94.56,33.17,0.06,28.38,-0.62,3.36,0.0,6.0,3.0,2.45,1.1,107.0,74.88,1.94,1.32,4.67,,23.85,4.17,,1.32,,1.32,,25.12,0.0,0.0,0.0,0.0,33.44,16.1,13.71,13.51,70.0,574.09,0.007175438596491284,Hold
Hybrid Financial,500262.0,HYBRIDFIN,Finance & Investments,11.53,0.0,14.72,2.1,15.3,0.0,0.0,47.89,2.77,0.0,1.02,1.75,0.0,22.53,20.52,3.95,0.0,0.0,14.73,47.89,16.57,0.0,0.0,0.2,5.0,18.62,0.0,2.66,2.94,0.0,15.5,1.84,2.75,0.0,13.69,12.75,10.79,9.8,0.0,0.01,2.16,0.1,1.02,1.18,1.3,33.95,500262.0_HYBRIDFIN,Hybrid Financial,500262.0,HYBRIDFIN,Finance & Investments,11.17,32.89,16.43,0.0,1.09,4.68,0.07,7.57,64.02,15.31,0.0,23.18,14.27,2.94,10.2,,5.19,0.0,7.0,5.0,0.12,1.42,52279.0,64.02,11.14,14.34,1.78,,-147.0,4.72,12.3,14.34,,14.34,,35.1,0.0,0.0,0.0,0.89,7.75,4.33,2.1,3.45,52240.0,11.63,0.008673026886383472,Hold
Hypersoft Tech.,539724.0,__NA__,Computers - Software - Medium / Small,15.19,0.02,4.49,0.0,-2.28,0.14,0.0,2.79,3.07,0.89,1.2,0.04,0.0,0.0,2.66,0.19,0.0,0.0,0.0,2.79,2.49,0.0,0.0,0.08,10.0,2.46,0.0,0.02,0.43,0.14,1.63,1.88,3.07,0.0,1.5,1.87,0.67,0.47,0.08,0.0,0.0,0.0,1.97,2.05,1.26,6.46,539724.0___NA__,Hypersoft Tech.,539724.0,__NA__,Computers - Software - Medium / Small,15.19,6.46,,0.0,2.92,-8.88,0.01,-10.64,34.89,-5.97,0.0,34.11,4.02,0.43,5.2,0.05,14.0,0.0,4.0,4.0,0.25,1.47,909.0,34.89,-9.49,35.18,3.7,,13.19,-8.6,,35.18,,35.18,,65.11,0.0,0.0,0.0,0.0,7.6,-2.69,-2.91,-3.36,881.0,14.52,-0.04410796576695194,Hold
I D F C,532659.0,IDFC,Finance & Investments,121.3,0.0,1599.99,0.0,11780.69,0.0,0.0,13428.7,0.31,0.0,0.24,0.05,0.0,12964.45,463.93,9.61,11220.62,0.0,247.85,13428.7,454.32,0.0,0.0,0.0,10.0,241.37,0.0,0.0,160.0,0.0,412.76,0.07,0.31,0.0,30.55,839.79,13477.23,-1001.95,37.52,0.0,92152.97,56565.32,834.05,884.87,2202.3,19407.81,532659.0_IDFC,I D F C,532659.0,IDFC,Finance & Investments,121.35,19415.81,18.57,0.0,1.46,8.33,0.0,8.37,0.0,5.5,0.0,23.18,19174.44,160.0,83.63,,48.28,0.0,7.0,4.0,0.01,0.94,673915.0,0.0,231.7,0.0,1.78,,1185.94,7.9,110.89,0.0,,0.0,,48.87,20.99,1.45,-1.09,13.68,72.48,-24.42,-24.9,-25.3,640553.0,125.21,0.03223413025556469,Hold
I G Petrochems,500199.0,IGPL,Chemicals,600.25,337.33,30.8,0.0,1208.61,187.24,30.07,2093.85,1281.59,0.0,564.31,1030.23,3.04,252.02,836.26,525.77,0.0,20.57,93.24,2093.85,419.56,3.17,199.63,336.66,10.0,175.29,5.68,377.17,3.08,217.31,279.56,717.29,1281.59,232.33,105.01,96.58,88.77,59.05,129.03,160.95,82.22,208.78,701.57,389.22,323.86,1848.45,500199.0_IGPL,I G Petrochems,500199.0,IGPL,Chemicals,600.25,1848.45,46.53,1.67,1.49,1.96,0.27,3.22,68.74,4.16,0.0,39.79,2010.49,3.08,402.47,9.51,1.21,0.0,4.0,4.0,1.04,1.63,37726.0,68.74,4.29,58.54,3.67,,42.48,4.01,341.72,21.16,79.4,58.54,42.03,26.47,3.0,-0.42,0.0,1.79,399.62,21.84,11.09,17.25,37398.0,607.97,0.012861307788421537,Hold
I O B,532388.0,IOB,Banks - Public Sector,63.98,316292.55,18902.41,0.0,9039.89,30387.17,285905.38,352033.61,7531.83,2722.63,3806.55,3725.28,14.48,99632.08,35342.97,7798.77,71.01,0.0,214760.17,352033.61,27544.2,0.0,0.0,0.0,10.0,18554.42,0.0,811.73,1890.24,281687.06,31017.05,3709.89,7275.2,0.09,34771.03,42173.19,26017.78,19929.27,243959.88,228680.12,227440.3,252481.87,2917.66,3321.35,3001.54,120937.65,532388.0_IOB,I O B,532388.0,IOB,Banks - Public Sector,64.02,121013.25,45.62,0.0,4.36,0.8,11.32,9.98,96.38,4.21,0.0,9.46,418751.38,1890.24,14.78,,4.53,0.0,5.0,5.0,0.07,11.91,1006185.0,96.38,5.41,0.0,1.18,,136.44,5.01,21.62,0.0,,0.0,,2.28,0.05,0.02,0.0,1.29,13.36,4.53,0.68,8.69,727348.0,62.61,-0.021412941544232535,Hold
I O C L,530965.0,IOC,Refineries,167.0,132627.56,13771.56,0.0,169644.71,11915.96,137061.12,482362.0,241331.97,0.0,67050.94,199713.35,57316.86,65541.9,157264.62,216403.93,208.08,33570.1,19856.82,482362.0,20363.36,9173.99,121375.83,13831.45,10.0,3158.79,4328.02,59454.1,1412.12,148977.08,21245.78,173665.32,241331.97,51133.47,693.53,14089.81,-10455.19,45727.49,116649.06,96765.04,63270.62,94915.88,151286.93,127223.21,112030.69,235824.69,530965.0_IOC,I O C L,530965.0,IOC,Refineries,167.45,236460.15,5.66,7.18,1.29,9.34,0.72,25.83,51.5,17.92,0.0,8.02,365928.92,1412.12,129.89,5.26,0.17,0.0,8.0,6.0,1.68,2.52,2428561.0,51.5,22.29,6.5,1.74,,8.09,13.5,293.87,41.88,33.97,6.5,69.35,10.18,8.49,-0.35,0.33,10.23,98.94,8.09,2.74,7.17,2065514.0,166.77,-0.0013772455089819747,Hold
I Power Solution,512405.0,__NA__,Computers - Software - Medium / Small,11.87,0.25,4.45,0.0,-0.35,0.0,0.1,4.36,0.85,0.0,0.84,0.0,4.31,0.0,0.04,0.0,0.0,0.0,0.0,4.36,0.04,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.44,0.1,0.03,0.01,0.85,4.31,0.07,0.04,0.13,0.11,2.71,2.72,0.0,2.32,0.09,0.12,0.16,5.28,512405.0___NA__,I Power Solution,512405.0,__NA__,Computers - Software - Medium / Small,11.87,5.28,,0.0,1.29,-3.67,0.06,-3.83,61.68,-2.89,0.0,34.11,5.53,0.44,9.22,,4.0,0.0,3.0,4.0,0.0,1.06,1351.0,61.68,-400.0,,3.7,,,-3.67,,,,,,38.32,0.0,0.0,0.0,0.0,9.58,-5.42,-4.95,-5.02,1356.0,11.35,-0.043807919123841584,Hold
I R C T C,542830.0,IRCTC,Travel Agencies,996.1,60.35,160.0,0.0,3069.97,0.0,84.16,6091.1,689.29,0.0,338.36,342.76,442.52,0.0,5129.17,2631.43,0.0,0.0,234.08,6091.1,2516.29,60.35,10.97,1374.34,2.0,2262.65,0.0,997.41,80.0,84.16,1985.99,350.93,689.29,33.79,1187.34,808.01,708.42,,79.46,0.0,0.0,,311.35,182.25,170.4,79688.0,542830.0_IRCTC,I R C T C,542830.0,IRCTC,Travel Agencies,996.2,79696.0,69.06,0.56,24.68,20.65,0.02,40.44,62.4,2.05,0.0,68.56,77493.7,80.0,40.37,23.85,1.95,0.0,6.0,4.0,0.76,1.73,1910307.0,62.4,40.87,117.47,24.5,,21.68,25.83,112.33,-1349.61,1483.39,117.47,16.32,16.79,8.08,0.74,0.74,12.72,30.98,59.19,21.98,45.36,1928851.0,1102.28,0.10659572332095166,Buy
I R F C,543257.0,IRFC,Finance - Term-Lending Institutions,172.45,412038.51,13068.51,0.0,36110.06,156038.92,262895.98,485066.78,42.38,0.0,23.19,25.83,0.0,53.6,468231.24,23466.4,13.66,0.0,0.02,485066.78,444764.84,0.0,0.0,0.0,10.0,466.77,0.0,0.0,1306.85,418934.9,458439.24,19.19,42.38,0.0,352031.5,193041.42,6527.83,1729.6,323145.26,173932.67,106394.86,69917.35,45.36,11.28,11.52,225366.42,543257.0_IRFC,I R F C,543257.0,IRFC,Finance - Term-Lending Institutions,172.45,225366.43,35.13,0.87,4.62,1.31,8.38,13.55,86.36,4.15,0.0,27.8,636938.17,1306.85,37.63,,19.95,0.0,7.0,2.0,0.05,9.93,4526341.0,86.36,5.96,0.0,2.28,,6086.19,5.47,64.45,0.0,,0.0,,11.68,1.08,-0.07,-0.26,0.89,34.79,5.32,1.35,14.66,3251993.0,163.57,-0.0514931864308495,Sell
I T D C,532189.0,ITDC,Hotels,822.8,0.63,85.77,0.0,303.31,0.0,0.63,1065.68,90.83,0.0,45.13,40.26,4.34,0.0,962.7,664.44,0.0,0.0,1067.81,1065.68,298.89,0.0,12.68,75.16,10.0,569.73,52.69,87.95,8.58,0.63,283.68,45.7,90.83,3.35,225.04,280.86,251.19,253.94,0.63,1.15,4.73,3.31,45.11,55.22,57.38,7057.14,532189.0_ITDC,I T D C,532189.0,ITDC,Hotels,822.35,7053.28,99.01,0.25,18.11,7.13,0.0,19.5,87.03,1.69,0.0,47.22,6484.18,8.58,45.36,14.49,1.43,0.0,6.0,4.0,0.53,2.57,28131.0,87.03,21.38,51.56,4.25,,-185.81,10.43,91.48,-112.43,191.62,51.56,27.63,11.09,0.09,0.09,-0.07,1.79,39.86,27.92,7.68,18.56,19494.0,845.46,0.02754010695187176,Hold
IB Infotech,519463.0,__NA__,Trading,140.25,0.0,1.28,0.0,0.47,0.0,0.0,1.89,0.58,0.0,0.03,0.47,0.0,0.0,1.41,0.12,0.0,0.0,0.0,1.89,1.29,0.0,0.0,0.0,10.0,0.48,0.0,0.04,0.13,0.0,0.61,0.55,0.58,0.0,0.53,0.71,0.83,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,17.95,519463.0___NA__,IB Infotech,519463.0,__NA__,Trading,140.25,17.95,24.61,0.37,10.27,45.77,0.0,50.52,63.96,5.28,0.0,34.16,17.47,0.13,13.66,,11.75,0.0,7.0,6.0,3.66,0.91,6603.0,63.96,42.05,0.0,3.16,,50.71,52.38,41.86,0.0,,0.0,0.0,36.04,0.0,0.0,0.0,0.0,8.9,104.52,85.55,95.48,6448.0,153.97,0.09782531194295899,Buy
IBL Finance,-1.0,IBLFL,Finance & Investments,52.0,4.91,9.09,0.0,31.57,0.0,0.09,66.36,0.37,0.0,0.2,1.53,0.0,0.0,47.5,6.69,0.0,0.0,0.0,66.36,45.72,0.0,0.0,0.0,10.0,5.2,0.0,0.04,0.91,0.09,20.46,0.17,0.37,0.0,2.9,,,,0.0,,,,0.09,,,128.6,-1.0_IBLFL,IBL Finance,-1.0,IBLFL,Finance & Investments,52.0,128.6,56.4,0.0,2.29,10.28,0.09,11.13,63.21,2.68,0.0,57.0,128.31,2.47,22.77,,7.1,0.0,3.0,3.0,0.64,1.08,1398.0,63.21,12.67,0.0,2.31,,502.0,5.23,21.73,0.0,,0.0,,36.78,0.01,,,0.0,,26.06,11.91,16.06,,51.97,-0.0005769230769230988,Hold
ICDS,511194.0,ICDSLTD,Miscellaneous,33.89,0.13,13.03,0.0,14.51,0.3,0.0,28.66,12.15,0.0,1.77,9.99,0.0,5.82,15.1,0.61,0.0,3.41,1.55,28.66,14.62,0.0,0.0,0.18,10.0,3.55,0.06,0.07,1.3,0.3,5.36,10.38,12.15,0.0,2.51,2.69,13.55,18.73,0.14,0.72,0.12,4.78,10.77,7.38,7.61,44.16,511194.0_ICDSLTD,ICDS,511194.0,ICDSLTD,Miscellaneous,33.89,44.16,21.64,0.0,1.6,7.35,0.0,7.69,51.39,5.79,0.0,57.22,40.74,1.3,21.14,,24.75,0.0,6.0,5.0,0.08,1.01,7994.0,51.39,8.57,28.82,4.51,,1772.17,8.51,27.29,28.82,,28.82,,43.74,0.0,0.0,0.0,4.87,19.59,2.33,1.42,1.5,8167.0,43.17,0.27382708763647096,Buy
ICE Make Refrig.,-1.0,ICEMAKE,Electric Equipment,856.4,27.25,15.78,0.0,88.41,1.46,3.4,211.38,56.35,0.0,23.98,50.25,11.95,0.01,140.13,81.3,0.0,0.0,8.17,211.38,60.96,1.97,59.91,64.98,10.0,8.63,14.17,54.27,1.58,4.86,47.41,32.37,56.35,0.14,32.65,29.29,18.56,,9.87,3.23,15.05,,29.74,22.64,10.9,1351.37,-1.0_ICEMAKE,ICE Make Refrig.,-1.0,ICEMAKE,Electric Equipment,858.0,1353.89,51.8,0.21,12.99,14.11,0.26,28.2,74.49,2.72,0.0,58.82,1372.51,1.58,66.03,4.66,0.99,0.0,5.0,5.0,2.04,1.78,22668.0,74.49,24.9,62.68,8.34,,50.48,17.65,157.21,70.61,76.32,62.68,84.25,25.51,0.0,-0.02,0.0,0.0,51.41,36.94,14.64,29.12,19285.0,848.62,-0.009084539934609963,Hold
ICICI Bank,532174.0,ICICIBANK,Banks - Private Sector,1203.0,1399893.96,1396.78,0.0,213101.01,189061.81,1210832.15,1958490.5,22425.88,3091.84,11355.54,11070.34,0.0,639551.97,216382.44,98544.63,167111.84,0.0,5122408.77,1958490.5,117837.81,0.0,0.0,0.0,2.0,136456.49,0.0,13603.71,698.28,1399893.96,117837.81,11070.34,22425.88,0.0,125563.88,99093.6,91227.41,35034.05,1103839.96,891641.06,700874.02,543054.75,10916.93,9660.42,9337.96,846453.45,532174.0_ICICIBANK,ICICI Bank,532174.0,ICICIBANK,Banks - Private Sector,1202.7,846242.36,19.09,0.67,3.93,2.35,6.53,20.63,0.0,6.43,0.0,12.74,2109679.83,703.62,307.18,,2.2,0.0,6.0,6.0,0.08,9.13,1785572.0,0.0,8.37,0.0,1.94,,-42.6,6.92,659.99,0.0,,0.0,,9.84,44.77,1.12,-0.9,45.1,307.18,6.32,1.91,17.15,1802207.0,1258.93,0.046492103075644275,Hold
ICICI Lombard,540716.0,ICICIGI,Finance & Investments,1817.75,35.0,492.69,0.0,11712.32,0.0,35.0,63308.29,1891.97,0.0,962.24,929.73,93.99,48584.37,13407.59,50323.26,48584.37,0.0,0.0,63308.29,-36915.67,0.0,0.0,0.0,10.0,334.58,0.0,1514.07,49.11,35.0,-33368.66,882.84,1744.83,25.3,-23267.89,-16853.43,-10531.53,-6020.87,485.0,485.0,485.0,0.0,717.15,1964.53,516.26,89642.45,540716.0_ICICIGI,ICICI Lombard,540716.0,ICICIGI,Finance & Investments,1818.0,89654.78,46.69,0.34,7.36,3.24,0.0,16.96,51.27,2.91,0.0,45.96,89355.2,49.32,247.72,,0.27,0.0,7.0,5.0,0.35,4.85,239489.0,51.27,22.52,0.0,7.39,,-663.65,4.04,465.89,0.0,,0.0,,9.59,23.05,0.01,-1.9,15.96,212.65,21.24,3.27,17.64,252680.0,1992.0,0.09586026681336818,Buy
ICICI Pru Life,540133.0,ICICIPRULI,Finance & Investments,610.3,1200.0,1440.62,0.0,9563.99,0.0,1200.0,299000.65,1769.84,38.5,601.64,1168.2,49.48,289229.62,6791.37,5477.72,289229.62,0.0,1095.85,299000.65,1313.65,0.0,0.0,0.0,10.0,837.74,0.0,11.42,143.86,1200.0,30.38,968.4,1498.75,117.21,166.72,-327.26,29.17,-814.47,1200.0,0.0,0.0,0.0,911.29,462.76,206.56,87999.36,540133.0_ICICIPRULI,ICICI Pru Life,540133.0,ICICIPRULI,Finance & Investments,610.25,87992.15,103.46,0.1,7.98,0.31,0.11,8.07,73.24,1.17,0.0,45.96,88354.41,144.19,76.39,,1.24,0.0,5.0,2.0,0.32,25.21,341039.0,73.24,34.28,0.0,7.39,,1.94,0.34,100.74,0.0,,0.0,,4.85,13.35,-1.38,1.62,8.54,70.14,10.02,0.33,8.45,358759.0,589.23,-0.034524004587907484,Hold
ICICI Securities,541179.0,ISEC,Finance & Investments,759.55,16886.54,161.68,0.0,3760.91,503.89,8904.38,25622.67,338.62,0.0,80.89,540.07,18.76,18.96,12977.09,4185.8,7.71,0.0,150.93,25622.67,8791.29,196.25,387.28,959.11,5.0,11251.46,192.62,2388.36,32.29,9408.27,5507.23,257.73,338.62,30.87,2322.87,971.67,686.75,297.19,3629.91,451.83,395.41,317.13,160.94,43.58,34.63,24589.81,541179.0_ISEC,ICICI Securities,541179.0,ISEC,Finance & Investments,758.0,24539.64,14.5,3.84,6.23,8.24,4.3,50.09,74.74,10.82,0.0,17.68,30174.72,32.37,121.31,0.0,3.01,0.0,4.0,7.0,0.25,5.25,125307.0,74.74,26.06,69.33,2.85,,-177.84,12.74,378.44,69.33,,69.33,,7.44,10.43,0.1,1.03,7.38,88.35,18.07,7.64,42.28,130734.0,810.73,0.06738200250148123,Buy
ICRA,532835.0,ICRA,Miscellaneous,5900.0,12.68,9.65,0.0,966.84,0.0,13.03,1187.83,91.58,0.0,44.48,92.11,0.12,813.44,657.64,152.07,105.85,0.0,7.72,1187.83,509.68,10.88,0.0,53.01,10.0,155.54,14.52,7.48,0.97,13.03,173.42,47.1,91.58,1.34,363.16,367.62,161.79,1.01,16.96,0.0,0.0,16.47,46.45,33.84,36.55,5694.23,532835.0_ICRA,ICRA,532835.0,ICRA,Miscellaneous,5900.0,5694.23,37.7,1.69,5.82,13.3,0.01,15.68,51.87,3.83,0.0,37.27,5551.37,0.97,1011.78,,4.32,0.0,6.0,7.0,0.39,1.17,17547.0,51.87,26.62,43.37,5.77,,289.75,17.7,1887.82,43.37,,43.37,,15.34,8.42,0.2,-0.16,24.05,984.62,19.95,13.15,15.07,17415.0,6043.99,0.024405084745762674,Hold
IDBI Bank,500116.0,IDBI,Banks - Private Sector,84.4,267959.91,10752.4,0.0,35566.84,12637.75,255322.16,331497.7,12176.27,8200.98,2873.26,9303.01,477.4,100408.68,47235.75,17080.07,6992.02,0.0,188239.86,331497.7,30155.68,0.0,0.0,0.0,10.0,29351.95,547.1,2348.93,1075.24,267959.91,30155.68,9303.01,12176.27,477.4,52410.97,42804.84,48954.31,13289.97,246614.86,272477.83,324579.66,295719.13,7402.09,7841.62,6892.63,90750.26,500116.0_IDBI,IDBI Bank,500116.0,IDBI,Banks - Private Sector,84.3,90642.74,15.63,1.78,1.97,1.75,5.79,12.5,94.71,6.26,0.0,12.74,329250.7,1075.24,43.08,,2.77,0.0,5.0,7.0,0.08,7.16,672434.0,94.71,6.55,0.0,1.94,,11.09,6.21,72.23,0.0,,0.0,,4.67,0.45,0.13,0.0,0.15,43.08,4.26,1.18,8.34,636699.0,75.69,-0.10319905213270152,Sell
